"ind_index" "x" "y" "phenotype1_mat" "phenotype2_MTWetQ" "phenotype3_MTDQ" "phenotype4_PDM" "phenotype5_PwarmQ" "phenotype6_PWM" "env1_mat" "env2_MTWetQ" "env3_MTDQ" "env4_PDM" "env5_PwarmQ" "env6_PWM"
915 0.762203 0.40799 -0.211477 -0.324324 -0.0462857 0.285036 0.204024 -0.00240411 -0.254103 -0.404338 -0.0040554 0.347113 0.117462 0.0751324
925 0.53367 0.0792477 0.193647 -0.320852 -0.0940904 0.207359 -0.255136 -0.141162 0.236525 -0.260898 -0.0246451 0.0754367 -0.261157 -0.131296
935 0.814115 0.0811416 -0.247512 -0.40421 0.655439 0.398094 -0.00985669 0.080366 -0.313004 -0.390209 0.659536 0.448729 -0.0693878 0.0613705
946 0.600391 0.2451 -0.0433064 -0.349249 0.0520795 0.550982 0.0693701 0.531473 -0.0924778 -0.341271 0.077001 0.472669 0.0484837 0.559396
957 0.792319 0.961914 0.0660119 0.38934 -0.0947651 -0.367076 0.653174 0.351758 0.111315 0.412773 -0.135917 -0.440748 0.622289 0.309085
980 0.661996 0.192061 -0.153308 -0.304337 0.102494 0.560736 0.087834 0.781445 -0.0624982 -0.329121 0.0944285 0.61607 0.0750426 0.726752
982 0.427317 0.731996 -0.235573 -0.417725 -0.000195193 0.326824 0.207143 0.17802 -0.346924 -0.407837 -0.0658245 0.292778 0.159531 0.0888943
996 0.509993 0.178554 0.561615 -0.260377 0.375563 0.169497 -0.23249 0.0582537 0.544461 -0.197757 0.457908 0.0778091 -0.225488 0.0111298
1016 0.959959 0.710766 -0.136166 0.272818 -0.53696 -0.469055 0.458698 0.225793 0.024362 0.340852 -0.546251 -0.495084 0.461025 0.240275
1026 0.643067 0.881935 -0.361888 0.267511 -0.439242 -0.140803 0.374342 0.0265994 -0.333664 0.256887 -0.340354 -0.169072 0.264703 -0.00743908
1036 0.206828 0.159928 0.291626 -0.40518 -0.0581979 -0.190642 -0.571945 -0.486819 0.286167 -0.243423 0.026777 -0.216581 -0.567865 -0.351487
1066 0.345034 0.0084902 0.206082 0.421623 0.0897732 -0.487325 -0.494189 -0.632775 0.135534 0.370351 -0.06319 -0.442052 -0.626764 -0.628046
