gene	Gene.Ontology.IDs
LOC111104153	GO:0000723; GO:0000725; GO:0000781; GO:0000976; GO:0002218; GO:0003678; GO:0003684; GO:0003690; GO:0003691; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005886; GO:0006302; GO:0006303; GO:0006974; GO:0007420; GO:0008094; GO:0009410; GO:0016887; GO:0022008; GO:0031625; GO:0032040; GO:0032212; GO:0032991; GO:0032993; GO:0034462; GO:0034511; GO:0042162; GO:0043564; GO:0044877; GO:0045027; GO:0045087; GO:0045860; GO:0045892; GO:0048660; GO:0050769; GO:0051575; GO:0060218; GO:0070418; GO:0070419; GO:0071398; GO:0071425; GO:0071475; GO:0071480; GO:0071481; GO:0090734; GO:1904430; GO:1990830; GO:1990904
LOC111134552	GO:0005525; GO:0005737; GO:0006955; GO:0051607
LOC111134566	GO:0005525; GO:0005737; GO:0006955; GO:0051607
LOC111121733	GO:0005925; GO:0030054; GO:0046872; GO:0051015; GO:0055120
LOC111121733	GO:0005829; GO:0007517; GO:0007525; GO:0008307; GO:0015629; GO:0030018; GO:0030832; GO:0051015; GO:0070062; GO:0071691
LOC111129336	GO:0003774; GO:0005524; GO:0005737; GO:0005938; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031410; GO:0031982; GO:0032587; GO:0032835; GO:0051015; GO:0060171
LOC111109754	GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944
LOC111129344	GO:0003774; GO:0005516; GO:0005524; GO:0005737; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015
LOC111109745	GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944
LOC111132141	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0016567; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630; GO:1990830
LOC111132148	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0016567; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630; GO:1990830
LOC111132134	GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023
LOC111132126	GO:0005576; GO:0005595; GO:0005615; GO:0005788; GO:0007155; GO:0030020; GO:0030199; GO:0035987; GO:0062023; GO:0070062; GO:1903561
LOC111099207	GO:0006811; GO:0006915; GO:0016020; GO:0022857
LOC111115013	GO:0005509; GO:0005886; GO:0007156; GO:0007157; GO:0021987; GO:0022008; GO:0035329; GO:0070062
